website,Realtor,Zillow,Redfin,Census,
bloomsburg_pa,"bloomsburg-berwick, pa","Bloomsburg, PA",,"Bloomsburg-Berwick, PA",metro
beaver_dam_wi,"beaver dam, wi","Beaver Dam, WI",,"Beaver Dam, WI",metro
pine_bluff_ar,"pine bluff, ar","Pine Bluff, AR",,"Pine Bluff, AR",metro
oak_harbor_wa,"oak harbor, wa","Oak Harbor, WA",,"Oak Harbor, WA",metro
manitowoc_wi,"manitowoc, wi","Manitowoc, WI",,"Manitowoc, WI",metro
casper_wy,"casper, wy","Casper, WY",,"Casper, WY",metro
midland_mi,"midland, mi","Midland, MI",,"Midland, MI",metro
minot_nd,"minot, nd","Minot, ND",,"Minot, ND",metro
helena_mt,"helena, mt","Helena, MT",,"Helena, MT",metro
grand_island_ne,"grand island, ne","Grand Island, NE",,"Grand Island, NE",metro
watertown_wi,"watertown-fort atkinson, wi","Watertown, WI",,"Watertown-Fort Atkinson, WI",metro
port_angeles_wa,"port angeles, wa","Port Angeles, WA",,"Port Angeles, WA",metro
opelousas_la,"opelousas, la","Opelousas, LA",,"Opelousas, LA",metro
cullman_al,"cullman, al","Cullman, AL",,"Cullman, AL",metro
russellville_ar,"russellville, ar","Russellville, AR",,"Russellville, AR",metro
wilson_nc,"wilson, nc","Wilson, NC",,"Wilson, NC",metro
laurel_ms,"laurel, ms","Laurel, MS",,"Laurel, MS",metro
moses_lake_wa,"moses lake, wa","Moses Lake, WA",,"Moses Lake, WA",metro
plattsburgh_ny,"plattsburgh, ny","Plattsburgh, NY",,"Plattsburgh, NY",metro
dubois_pa,"dubois, pa","DuBois, PA",,"DuBois, PA",metro
lufkin_tx,"lufkin, tx","Lufkin, TX",,"Lufkin, TX",metro
olean_ny,"olean, ny","Olean, NY",,"Olean, NY",metro
stillwater_ok,"stillwater, ok","Stillwater, OK",,"Stillwater, OK",metro
athens_tx,"athens, tx","Athens, TX",,"Athens, TX",metro
wisconsin_rapids_wi,"wisconsin rapids-marshfield, wi","Wisconsin Rapids, WI",,"Wisconsin Rapids-Marshfield, WI",metro
columbus_in,"columbus, in","Columbus, IN",,"Columbus, IN",metro
danville_il,"danville, il","Danville, IL",,"Danville, IL",metro
sandusky_oh,"sandusky, oh","Sandusky, OH",,"Sandusky, OH",metro
hermiston_or,"hermiston-pendleton, or","Hermiston, OR",,"Hermiston-Pendleton, OR",metro
quincy_il,"quincy, il-mo","Quincy, IL",,"Quincy, IL-MO",metro
auburn_ny,"auburn, ny","Auburn, NY",,"Auburn, NY",metro
seneca_sc,"seneca, sc","Seneca, SC",,"Seneca, SC",metro
pocatello_id,"pocatello, id","Pocatello, ID",,"Pocatello, ID",metro
findlay_oh,"findlay, oh","Findlay, OH",,"Findlay, OH",metro
morehead_city_nc,"morehead city, nc","Morehead City, NC",,"Morehead City, NC",metro
greenfield_town_ma,"Greenfield, MA","Greenfield Town, MA",,,metro
somerset_pa,"somerset, pa","Somerset, PA",,"Somerset, PA",metro
keene_nh,"keene, nh","Keene, NH",,"Keene, NH",metro
centralia_wa,"centralia, wa","Centralia, WA",,"Centralia, WA",metro
warsaw_in,"warsaw, in","Warsaw, IN",,"Warsaw, IN",metro
roanoke_rapids_nc,"roanoke rapids, nc","Roanoke Rapids, NC",,"Roanoke Rapids, NC",metro
searcy_ar,"searcy, ar","Searcy, AR",,"Searcy, AR",metro
frankfort_ky,"frankfort, ky","Frankfort, KY",,"Frankfort, KY",metro
hinesville_ga,"hinesville, ga","Hinesville, GA",,"Hinesville, GA",metro
portsmouth_oh,"portsmouth, oh","Portsmouth, OH",,"Portsmouth, OH",metro
mount_airy_nc,"mount airy, nc","Mount Airy, NC",,"Mount Airy, NC",metro
glenwood_springs_co,"Edwards, CO","Glenwood Springs, CO",,"Glenwood Springs, CO",metro
chillicothe_oh,"chillicothe, oh","Chillicothe, OH",,"Chillicothe, OH",metro
marinette_wi,"marinette, wi-mi","Marinette, WI",,"Marinette, WI-MI",metro
martinsville_va,"martinsville, va","Martinsville, VA",,"Martinsville, VA",metro
stevens_point_wi,"Stevens Point-Plover, WI","Stevens Point, WI",,"Stevens Point, WI",metro
palatka_fl,"palatka, fl","Palatka, FL",,"Palatka, FL",metro
marquette_mi,"marquette, mi","Marquette, MI",,"Marquette, MI",metro
north_wilkesboro_nc,"north wilkesboro, nc","North Wilkesboro, NC",,"North Wilkesboro, NC",metro
aberdeen_wa,"aberdeen, wa","Aberdeen, WA",,"Aberdeen, WA",metro
greeneville_tn,"greeneville, tn","Greeneville, TN",,"Greeneville, TN",metro
huntsville_tx,"huntsville, tx","Huntsville, TX",,"Huntsville, TX",metro
klamath_falls_or,"klamath falls, or","Klamath Falls, OR",,"Klamath Falls, OR",metro
shawnee_ok,"shawnee, ok","Shawnee, OK",,"Shawnee, OK",metro
coos_bay_or,"Coos Bay-North Bend, OR","Coos Bay, OR",,"Coos Bay, OR",metro
forest_city_nc,"forest city, nc","Forest City, NC",,"Forest City, NC",metro
owosso_mi,"owosso, mi","Owosso, MI",,,metro
richmond_in,"richmond, in","Richmond, IN",,"Richmond, IN",metro
marion_in,"marion, in","Marion, IN",,"Marion, IN",metro
muskogee_ok,"muskogee, ok","Muskogee, OK",,"Muskogee, OK",metro
lewiston_id,"lewiston, id-wa","Lewiston, ID",,"Lewiston, ID-WA",metro
clearlake_ca,"clearlake, ca","Clearlake, CA",,"Clearlake, CA",metro
baraboo_wi,"baraboo, wi","Baraboo, WI",,"Baraboo, WI",metro
somerset_ky,"somerset, ky","Somerset, KY",,"Somerset, KY",metro
mount_pleasant_mi,"mount pleasant, mi","Mount Pleasant, MI",,"Mount Pleasant, MI",metro
lagrange_ga,"LaGrange, GA-AL","LaGrange, GA",,"LaGrange, GA-AL",metro
statesboro_ga,"statesboro, ga","Statesboro, GA",,"Statesboro, GA",metro
hudson_ny,"hudson, ny","Hudson, NY",,"Hudson, NY",metro
marietta_oh,"marietta, oh","Marietta, OH",,"Marietta, OH",metro
enid_ok,"enid, ok","Enid, OK",,"Enid, OK",metro
rutland_vt,"rutland, vt","Rutland, VT",,"Rutland, VT",metro
hutchinson_ks,"hutchinson, ks","Hutchinson, KS",,"Hutchinson, KS",metro
charleston_il,"charleston-mattoon, il","Charleston, IL",,"Charleston-Mattoon, IL",metro
georgetown_sc,"Georgetown, SC","Georgetown, SC",,"Georgetown, SC",metro
lake_city_fl,"lake city, fl","Lake City, FL",,"Lake City, FL",metro
fort_madison_ia,"Fort Madison, IA","Fort Madison, IA",,"Fort Madison-Keokuk, IA-IL-MO",metro
alamogordo_nm,"alamogordo, nm","Alamogordo, NM",,"Alamogordo, NM",metro
marshall_tx,,"Marshall, TX",,,metro
laconia_nh,"laconia, nh","Laconia, NH",,"Laconia, NH",metro
crossville_tn,"crossville, tn","Crossville, TN",,"Crossville, TN",metro
barre_vt,"barre, vt","Barre, VT",,"Barre, VT",metro
sayre_pa,"sayre, pa","Sayre, PA",,"Sayre, PA",metro
salina_ks,"salina, ks","Salina, KS",,"Salina, KS",metro
kapaa_hi,"kapaa, hi","Kapaa, HI",,"Kapaa, HI",metro
fergus_falls_mn,"fergus falls, mn","Fergus Falls, MN",,"Fergus Falls, MN",metro
hobbs_nm,"hobbs, nm","Hobbs, NM",,"Hobbs, NM",metro
nacogdoches_tx,"nacogdoches, tx","Nacogdoches, TX",,"Nacogdoches, TX",metro
walla_walla_wa,"walla walla, wa","Walla Walla, WA",,"Walla Walla, WA",metro
shelton_wa,"shelton, wa","Shelton, WA",,"Shelton, WA",metro
oneonta_ny,"oneonta, ny","Oneonta, NY",,"Oneonta, NY",metro
farmington_mo,"farmington, mo","Farmington, MO",,"Farmington, MO",metro
elizabeth_city_nc,"elizabeth city, nc","Elizabeth City, NC",,"Elizabeth City, NC",metro
fremont_oh,"fremont, oh","Fremont, OH",,"Fremont, OH",metro
fairmont_wv,"fairmont, wv","Fairmont, WV",,"Fairmont, WV",metro
marion_oh,"marion, oh","Marion, OH",,"Marion, OH",metro
kinston_nc,"kinston, nc","Kinston, NC",,"Kinston, NC",metro
athens_oh,"athens, oh","Athens, OH",,"Athens, OH",metro
columbus_ms,"columbus, ms","Columbus, MS",,"Columbus, MS",metro
albemarle_nc,"albemarle, nc","Albemarle, NC",,"Albemarle, NC",metro
red_bluff_ca,"red bluff, ca","Red Bluff, CA",,"Red Bluff, CA",metro
roswell_nm,"roswell, nm","Roswell, NM",,"Roswell, NM",metro
batavia_ny,"batavia, ny","Batavia, NY",,"Batavia, NY",metro
big_stone_gap_va,,"Big Stone Gap, VA",,"Big Stone Gap, VA",metro
gallup_nm,"gallup, nm","Gallup, NM",,"Gallup, NM",metro
sturgis_mi,"sturgis, mi","Sturgis, MI",,"Sturgis, MI",metro
faribault_mn,"faribault-northfield, mn","Faribault, MN",,"Faribault-Northfield, MN",metro
sterling_il,"sterling, il","Sterling, IL",,"Sterling, IL",metro
sanford_nc,"sanford, nc","Sanford, NC",,"Sanford, NC",metro
durango_co,"durango, co","Durango, CO",,"Durango, CO",metro
mount_vernon_oh,"mount vernon, oh","Mount Vernon, OH",,"Mount Vernon, OH",metro
point_pleasant_wv,,"Point Pleasant, WV",,"Point Pleasant, WV-OH",metro
ionia_mi,"Ionia, MI","Ionia, MI",,,metro
norwalk_oh,"norwalk, oh","Norwalk, OH",,"Norwalk, OH",metro
mason_city_ia,"mason city, ia","Mason City, IA",,"Mason City, IA",metro
payson_az,"payson, az","Payson, AZ",,"Payson, AZ",metro
kearney_ne,"kearney, ne","Kearney, NE",,"Kearney, NE",metro
oil_city_pa,"oil city, pa","Oil City, PA",,"Oil City, PA",metro
sonora_ca,"sonora, ca","Sonora, CA",,"Sonora, CA",metro
carlsbad_nm,"carlsbad-artesia, nm","Carlsbad, NM",,"Carlsbad-Artesia, NM",metro
gloversville_ny,"gloversville, ny","Gloversville, NY",,"Gloversville, NY",metro
jefferson_ga,"jefferson, ga","Jefferson, GA",,"Jefferson, GA",metro
vicksburg_ms,"vicksburg, ms","Vicksburg, MS",,"Vicksburg, MS",metro
gaffney_sc,"gaffney, sc","Gaffney, SC",,"Gaffney, SC",metro
jasper_in,"jasper, in","Jasper, IN",,"Jasper, IN",metro
dublin_ga,"dublin, ga","Dublin, GA",,"Dublin, GA",metro
bartlesville_ok,"bartlesville, ok","Bartlesville, OK",,"Bartlesville, OK",metro
oxford_nc,,"Oxford, NC",,,metro
glasgow_ky,"glasgow, ky","Glasgow, KY",,"Glasgow, KY",metro
carson_city_nv,"carson city, nv","Carson City, NV",,"Carson City, NV",metro
tiffin_oh,"tiffin, oh","Tiffin, OH",,"Tiffin, OH",metro
kerrville_tx,"kerrville, tx","Kerrville, TX",,"Kerrville, TX",metro
galesburg_il,"galesburg, il","Galesburg, IL",,"Galesburg, IL",metro
scottsboro_al,"scottsboro, al","Scottsboro, AL",,"Scottsboro, AL",metro
newport_or,"newport, or","Newport, OR",,"Newport, OR",metro
boone_nc,"boone, nc","Boone, NC",,"Boone, NC",metro
oxford_ms,"oxford, ms","Oxford, MS",,"Oxford, MS",metro
danville_ky,"danville, ky","Danville, KY",,"Danville, KY",metro
athens_tn,"athens, tn","Athens, TN",,"Athens, TN",metro
greenville_oh,"greenville, oh","Greenville, OH",,"Greenville, OH",metro
picayune_ms,"picayune, ms","Picayune, MS",,"Picayune, MS",metro
gardnerville_ranchos_nv,"Gardnerville Ranchos, NV-CA","Gardnerville Ranchos, NV",,"Gardnerville Ranchos, NV",metro
waycross_ga,"waycross, ga","Waycross, GA",,"Waycross, GA",metro
elko_nv,"elko, nv","Elko, NV",,"Elko, NV",metro
rochelle_il,"rochelle, il","Rochelle, IL",,"Rochelle, IL",metro
mccomb_ms,"mccomb, ms","McComb, MS",,"McComb, MS",metro
ashland_oh,"ashland, oh","Ashland, OH",,"Ashland, OH",metro
enterprise_al,"enterprise, al","Enterprise, AL",,"Enterprise, AL",metro
warrensburg_mo,"warrensburg, mo","Warrensburg, MO",,"Warrensburg, MO",metro
burlington_ia,"burlington, ia-il","Burlington, IA",,"Burlington, IA-IL",metro
washington_nc,"washington, nc","Washington, NC",,"Washington, NC",metro
fernley_nv,,"Fernley, NV",,"Fernley, NV",metro
morgan_city_la,"morgan city, la","Morgan City, LA",,"Morgan City, LA",metro
amsterdam_ny,"amsterdam, ny","Amsterdam, NY",,"Amsterdam, NY",metro
paris_tx,"paris, tx","Paris, TX",,"Paris, TX",metro
calhoun_ga,"calhoun, ga","Calhoun, GA",,"Calhoun, GA",metro
natchez_ms,"natchez, ms-la","Natchez, MS",,"Natchez, MS-LA",metro
starkville_ms,"starkville, ms","Starkville, MS",,"Starkville, MS",metro
clinton_ia,"clinton, ia","Clinton, IA",,"Clinton, IA",metro
ozark_al,"ozark, al","Ozark, AL",,"Ozark, AL",metro
platteville_wi,"platteville, wi","Platteville, WI",,"Platteville, WI",metro
edwards_co,"edwards, co","Edwards, CO",,"Edwards, CO",metro
norfolk_ne,"norfolk, ne","Norfolk, NE",,"Norfolk, NE",metro
winona_mn,"winona, mn","Winona, MN",,"Winona, MN",metro
milledgeville_ga,"milledgeville, ga","Milledgeville, GA",,"Milledgeville, GA",metro
freeport_il,"freeport, il","Freeport, IL",,"Freeport, IL",metro
cadillac_mi,"cadillac, mi","Cadillac, MI",,"Cadillac, MI",metro
red_wing_mn,"red wing, mn","Red Wing, MN",,"Red Wing, MN",metro
malone_ny,,"Malone, NY",,"Malone, NY",metro
st_marys_ga,,"St. Marys, GA",,"St. Marys, GA",metro
ardmore_ok,"ardmore, ok","Ardmore, OK",,"Ardmore, OK",metro
fort_polk_south_la,,"Fort Polk South, LA",,"Fort Polk South, LA",metro
clovis_nm,"clovis, nm","Clovis, NM",,"Clovis, NM",metro
pullman_wa,"pullman, wa","Pullman, WA",,"Pullman, WA",metro
ontario_or,"ontario, or-id","Ontario, OR",,"Ontario, OR-ID",metro
lewistown_pa,"lewistown, pa","Lewistown, PA",,"Lewistown, PA",metro
madisonville_ky,"madisonville, ky","Madisonville, KY",,"Madisonville, KY",metro
shawano_wi,"shawano, wi","Shawano, WI",,"Shawano, WI",metro
bedford_in,"bedford, in","Bedford, IN",,"Bedford, IN",metro
harrison_ar,"harrison, ar","Harrison, AR",,"Harrison, AR",metro
new_castle_in,"new castle, in","New Castle, IN",,"New Castle, IN",metro
tahlequah_ok,"tahlequah, ok","Tahlequah, OK",,"Tahlequah, OK",metro
cortland_ny,"cortland, ny","Cortland, NY",,"Cortland, NY",metro
mountain_home_ar,"mountain home, ar","Mountain Home, AR",,"Mountain Home, AR",metro
gillette_wy,"gillette, wy","Gillette, WY",,"Gillette, WY",metro
aberdeen_sd,"aberdeen, sd","Aberdeen, SD",,"Aberdeen, SD",metro
sidney_oh,"sidney, oh","Sidney, OH",,"Sidney, OH",metro
ruston_la,"ruston, la","Ruston, LA",,"Ruston, LA",metro
mount_sterling_ky,"mount sterling, ky","Mount Sterling, KY",,"Mount Sterling, KY",metro
wapakoneta_oh,"wapakoneta, oh","Wapakoneta, OH",,"Wapakoneta, OH",metro
rio_grande_city_tx,"Rio Grande City-Roma, TX","Rio Grande City, TX",,"Rio Grande City-Roma, TX",metro
rockingham_nc,"rockingham, nc","Rockingham, NC",,"Rockingham, NC",metro
ponca_city_ok,"ponca city, ok","Ponca City, OK",,"Ponca City, OK",metro
greenville_ms,"greenville, ms","Greenville, MS",,"Greenville, MS",metro
sandpoint_id,"sandpoint, id","Sandpoint, ID",,"Sandpoint, ID",metro
bellefontaine_oh,"bellefontaine, oh","Bellefontaine, OH",,"Bellefontaine, OH",metro
durant_ok,"durant, ok","Durant, OK",,"Durant, OK",metro
jacksonville_tx,"jacksonville, tx","Jacksonville, TX",,"Jacksonville, TX",metro
marion_nc,"marion, nc","Marion, NC",,"Marion, NC",metro
thomasville_ga,"thomasville, ga","Thomasville, GA",,"Thomasville, GA",metro
bemidji_mn,"bemidji, mn","Bemidji, MN",,"Bemidji, MN",metro
bogalusa_la,"bogalusa, la","Bogalusa, LA",,"Bogalusa, LA",metro
bardstown_ky,,"Bardstown, KY",,"Bardstown, KY",metro
ellensburg_wa,"ellensburg, wa","Ellensburg, WA",,"Ellensburg, WA",metro
poplar_bluff_mo,"poplar bluff, mo","Poplar Bluff, MO",,"Poplar Bluff, MO",metro
duncan_ok,"duncan, ok","Duncan, OK",,"Duncan, OK",metro
port_clinton_oh,,"Port Clinton, OH",,,metro
pahrump_nv,"pahrump, nv","Pahrump, NV",,"Pahrump, NV",metro
bucyrus_oh,"bucyrus, oh","Bucyrus, OH",,"Bucyrus-Galion, OH",metro
corsicana_tx,"corsicana, tx","Corsicana, TX",,"Corsicana, TX",metro
kendallville_in,"kendallville, in","Kendallville, IN",,"Kendallville, IN",metro
plymouth_in,"plymouth, in","Plymouth, IN",,"Plymouth, IN",metro
hillsdale_mi,"hillsdale, mi","Hillsdale, MI",,"Hillsdale, MI",metro
ottumwa_ia,"ottumwa, ia","Ottumwa, IA",,"Ottumwa, IA",metro
warren_pa,"warren, pa","Warren, PA",,"Warren, PA",metro
shelbyville_tn,"shelbyville, tn","Shelbyville, TN",,"Shelbyville, TN",metro
rolla_mo,"rolla, mo","Rolla, MO",,"Rolla, MO",metro
mcalester_ok,"mcalester, ok","McAlester, OK",,"McAlester, OK",metro
seymour_in,"seymour, in","Seymour, IN",,"Seymour, IN",metro
paragould_ar,"paragould, ar","Paragould, AR",,"Paragould, AR",metro
henderson_nc,"henderson, nc","Henderson, NC",,"Henderson, NC",metro
huntingdon_pa,"huntingdon, pa","Huntingdon, PA",,"Huntingdon, PA",metro
palestine_tx,"palestine, tx","Palestine, TX",,"Palestine, TX",metro
cullowhee_nc,,"Cullowhee, NC",,"Cullowhee, NC",metro
rock_springs_wy,"rock springs, wy","Rock Springs, WY",,"Rock Springs, WY",metro
menomonie_wi,"menomonie, wi","Menomonie, WI",,"Menomonie, WI",metro
willmar_mn,"willmar, mn","Willmar, MN",,"Willmar, MN",metro
canon_city_co,"canon city, co","Caon City, CO",,"Caon City, CO",metro
eagle_pass_tx,"eagle pass, tx","Eagle Pass, TX",,"Eagle Pass, TX",metro
bradford_pa,"bradford, pa","Bradford, PA",,"Bradford, PA",metro
laramie_wy,"laramie, wy","Laramie, WY",,"Laramie, WY",metro
blytheville_ar,"blytheville, ar","Blytheville, AR",,"Blytheville, AR",metro
kill_devil_hills_nc,"kill devil hills, nc","Kill Devil Hills, NC",,"Kill Devil Hills, NC",metro
berlin_nh,,"Berlin, NH",,"Berlin, NH",metro
fort_leonard_wood_mo,"fort leonard wood, mo","Fort Leonard Wood, MO",,"Fort Leonard Wood, MO",metro
muscatine_ia,"muscatine, ia","Muscatine, IA",,"Muscatine, IA",metro
lawrenceburg_tn,"lawrenceburg, tn","Lawrenceburg, TN",,"Lawrenceburg, TN",metro
montrose_co,"montrose, co","Montrose, CO",,"Montrose, CO",metro
big_rapids_mi,"big rapids, mi","Big Rapids, MI",,"Big Rapids, MI",metro
sedalia_mo,"sedalia, mo","Sedalia, MO",,"Sedalia, MO",metro
moultrie_ga,"moultrie, ga","Moultrie, GA",,"Moultrie, GA",metro
el_dorado_ar,"el dorado, ar","El Dorado, AR",,"El Dorado, AR",metro
wilmington_oh,"wilmington, oh","Wilmington, OH",,"Wilmington, OH",metro
astoria_or,"astoria, or","Astoria, OR",,"Astoria, OR",metro
coldwater_mi,"coldwater, mi","Coldwater, MI",,"Coldwater, MI",metro
del_rio_tx,"del rio, tx","Del Rio, TX",,"Del Rio, TX",metro
cambridge_oh,"cambridge, oh","Cambridge, OH",,"Cambridge, OH",metro
auburn_in,"auburn, in","Auburn, IN",,"Auburn, IN",metro
west_plains_mo,"west plains, mo","West Plains, MO",,"West Plains, MO",metro
jacksonville_il,"jacksonville, il","Jacksonville, IL",,"Jacksonville, IL",metro
murray_ky,"murray, ky","Murray, KY",,"Murray, KY",metro
selma_al,"selma, al","Selma, AL",,"Selma, AL",metro
easton_md,"easton, md","Easton, MD",,"Easton, MD",metro
alexandria_mn,"alexandria, mn","Alexandria, MN",,"Alexandria, MN",metro
escanaba_mi,"escanaba, mi","Escanaba, MI",,"Escanaba, MI",metro
mcminnville_tn,"mcminnville, tn","McMinnville, TN",,"McMinnville, TN",metro
austin_mn,"austin, mn","Austin, MN",,"Austin, MN",metro
celina_oh,"celina, oh","Celina, OH",,"Celina, OH",metro
cedar_city_ut,"cedar city, ut","Cedar City, UT",,"Cedar City, UT",metro
centralia_il,"centralia, il","Centralia, IL",,"Centralia, IL",metro
espa_nm,"Espanola, NM","Espaola, NM",,"Espaola, NM",metro
pittsburg_ks,"pittsburg, ks","Pittsburg, KS",,"Pittsburg, KS",metro
riverton_wy,"riverton, wy","Riverton, WY",,"Riverton, WY",metro
